p(the | <s>) = 0.04022112085398399
p(in | grit) = 0.006485849056603773
p(a | in) = 0.044924554183813435
p(sensitive | a) = 0.003155479059093517
p(instrument | sensitive) = 0.006485849056603773
p(or | instrument) = 0.006485849056603773
p(a | or) = 0.0112540192926045
p(crack | a) = 0.003155479059093517
p(in | crack) = 0.006485849056603773
p(one | in) = 0.007201646090534979
p(of | one) = 0.03217299578059071
p(own | his) = 0.0164923572003218
p(high | own) = 0.005958829902491874
p(power | high) = 0.006447831184056271
p(lenses | power) = 0.006447831184056271
p(would | lenses) = 0.006485849056603773
p(not | would) = 0.0112540192926045
p(be | not) = 0.014378478664192949
p(more | be) = 0.005198487712665407
p(disturbing | more) = 0.006159014557670772
p(than | disturbing) = 0.006485849056603773
p(a | than) = 0.006159014557670772
p(strong | a) = 0.003155479059093517
p(emotion | strong) = 0.00641025641025641
p(in | emotion) = 0.006447831184056271
p(nature | a) = 0.003155479059093517
p(such | nature) = 0.00641025641025641
p(as | such) = 0.01765375854214123
p(his | as) = 0.005198487712665407
p(</s> | his) = 0.004424778761061947
p(accustomed | <s>) = 0.0020968356843309188
p(as | accustomed) = 0.00641025641025641
p(to | was) = 0.007847533632286996
p(my | to) = 0.005905511811023622
p(friend | my) = 0.017857142857142853
p(s | friend) = 0.01195899772209567
p(amazing | s) = 0.005926724137931034
p(powers | amazing) = 0.006485849056603773
p(in | powers) = 0.006447831184056271
p(use | the) = 0.002133436772692009
p(of | use) = 0.00641025641025641
p(disguises | of) = 0.003102086858432036
p(i | disguises) = 0.006485849056603773
p(had | i) = 0.03044432254525507
p(to | had) = 0.009562841530054645
p(look | to) = 0.008717660292463441
p(three | look) = 0.006264236902050114
p(times | three) = 0.006228765571913929
p(before | times) = 0.006373117033603708
p(i | before) = 0.011824324324324323
p(certain | was) = 0.004110612855007474
p(that | certain) = 0.006485849056603773
p(it | that) = 0.02368012422360248
p(indeed | was) = 0.004110612855007474
p(he | indeed) = 0.006159014557670772
p(</s> | he) = 0.02443910256410256
p(they | <s>) = 0.017346549752192145
p(would | they) = 0.005991285403050109
p(have | would) = 0.016613076098606645
p(had | have) = 0.005032021957913998
p(the | had) = 0.005009107468123861
p(lady | the) = 0.011830876648564777
p(s | lady) = 0.006264236902050114
p(purse | s) = 0.005926724137931034
p(and | purse) = 0.006485849056603773
p(watch | and) = 0.002984264785675529
p(if | watch) = 0.006373117033603708
p(it | if) = 0.011017838405036725
p(hadn | it) = 0.0037593984962406017
p(t | hadn) = 0.006485849056603773
p(been | t) = 0.006373117033603708
p(for | been) = 0.005652620760534429
p(him | for) = 0.005350194552529183
p(rather | <s>) = 0.0020968356843309188
p(than | rather) = 0.006373117033603708
p(i | than) = 0.011758118701007838
p(marry | should) = 0.006090808416389811
p(another | marry) = 0.006447831184056271
p(woman | another) = 0.006373117033603708
p(there | woman) = 0.006090808416389811
p(are | there) = 0.01568825910931174
p(no | are) = 0.005832449628844114
p(lengths | no) = 0.00605726872246696
p(to | lengths) = 0.006485849056603773
p(which | to) = 0.003093363329583802
p(would | she) = 0.022309711286089235
p(go | not) = 0.00510204081632653
p(none | go) = 0.00641025641025641
p(you | none) = 0.006300114547537227
p(are | you) = 0.02279521674140508
p(sure | are) = 0.005832449628844114
p(that | sure) = 0.012237762237762236
p(not | has) = 0.005926724137931034
p(sent | not) = 0.00510204081632653
p(it | sent) = 0.00641025641025641
p(yet | it) = 0.0037593984962406017
p(i | yet) = 0.011692650334075723
p(sure | am) = 0.005991285403050109
p(and | sure) = 0.00641025641025641
p(why | and) = 0.0056972327726532825
p(because | why) = 0.006300114547537227
p(she | because) = 0.00641025641025641
p(said | has) = 0.005926724137931034
p(that | said) = 0.005595116988809766
p(send | would) = 0.0058949624866023575
p(it | send) = 0.006447831184056271
p(on | it) = 0.01059466848940533
p(day | the) = 0.002133436772692009
p(when | day) = 0.00641025641025641
p(betrothal | the) = 0.002133436772692009
p(was | betrothal) = 0.006485849056603773
p(publicly | was) = 0.004110612855007474
p(proclaimed | publicly) = 0.006485849056603773
p(</s> | proclaimed) = 0.006485849056603773
p(man | the) = 0.013770364623739331
p(who | man) = 0.03217299578059071
p(wrote | who) = 0.010903426791277258
p(the | wrote) = 0.006447831184056271
p(is | note) = 0.006228765571913929
p(german | a) = 0.006024096385542168
p(</s> | german) = 0.006300114547537227
p(is | there) = 0.03593117408906882
p(only | is) = 0.004610226320201173
p(point | one) = 0.00580168776371308
p(on | point) = 0.00641025641025641
p(which | on) = 0.010903426791277258
p(i | which) = 0.03323970037453183
p(must | i) = 0.01398793198025233
p(insist | must) = 0.00605726872246696
p(</s> | insist) = 0.006485849056603773
p(looked | it) = 0.0037593984962406017
p(as | looked) = 0.006300114547537227
p(the | if) = 0.026757607555089186
p(pair | the) = 0.002133436772692009
p(might | pair) = 0.00641025641025641
p(take | might) = 0.01189127972819932
p(an | take) = 0.006264236902050114
p(immediate | an) = 0.005741127348643006
p(departure | immediate) = 0.006485849056603773
p(and | departure) = 0.006485849056603773
p(so | and) = 0.0056972327726532825
p(necessitate | so) = 0.005926724137931034
p(very | necessitate) = 0.006485849056603773
p(prompt | very) = 0.00580168776371308
p(and | prompt) = 0.006447831184056271
p(energetic | and) = 0.002984264785675529
p(measures | energetic) = 0.006447831184056271
p(on | measures) = 0.006485849056603773
p(my | on) = 0.01609553478712357
p(part | my) = 0.004790940766550522
p(</s> | part) = 0.01189127972819932
p(fear | i) = 0.0030170049369171695
p(that | fear) = 0.006447831184056271
p(bore | i) = 0.0030170049369171695
p(you | bore) = 0.006485849056603773
p(with | you) = 0.004110612855007474
p(these | with) = 0.004986400725294651
p(details | these) = 0.006373117033603708
p(but | details) = 0.006485849056603773
p(have | i) = 0.04415798134942403
p(to | have) = 0.005032021957913998
p(let | to) = 0.003093363329583802
p(you | let) = 0.00641025641025641
p(see | you) = 0.007847533632286996
p(little | my) = 0.004790940766550522
p(difficulties | little) = 0.006159014557670772
p(if | difficulties) = 0.006485849056603773
p(you | if) = 0.032004197271773345
p(to | are) = 0.005832449628844114
p(understand | to) = 0.003093363329583802
p(the | understand) = 0.0063364055299539165
p(situation | the) = 0.002133436772692009
p(i | situation) = 0.006485849056603773
p(following | am) = 0.005991285403050109
p(you | following) = 0.006447831184056271
p(closely | you) = 0.004110612855007474
p(i | closely) = 0.006447831184056271
p(answered | i) = 0.00575973669775096
p(</s> | answered) = 0.012166859791425259
p(slipping | <s>) = 0.0020968356843309188
p(through | slipping) = 0.006485849056603773
p(shouting | the) = 0.002133436772692009
p(crowd | shouting) = 0.006485849056603773
p(i | crowd) = 0.006447831184056271
p(made | i) = 0.00575973669775096
p(my | made) = 0.006228765571913929
p(way | my) = 0.004790940766550522
p(to | way) = 0.006300114547537227
p(corner | the) = 0.00795190069821567
p(of | corner) = 0.012096774193548387
p(and | street) = 0.027777777777777773
p(in | and) = 0.011123168746608788
p(ten | in) = 0.007201646090534979
p(minutes | ten) = 0.018065268065268064
p(was | minutes) = 0.006193693693693694
p(rejoiced | was) = 0.004110612855007474
p(to | rejoiced) = 0.006485849056603773
p(find | to) = 0.005905511811023622
p(my | find) = 0.006373117033603708
p(arm | s) = 0.005926724137931034
p(in | arm) = 0.006485849056603773
p(mine | in) = 0.0037722908093278463
p(and | mine) = 0.006485849056603773
p(to | and) = 0.013836136733586541
p(get | to) = 0.005905511811023622
p(away | get) = 0.006373117033603708
p(from | away) = 0.012096774193548387
p(the | from) = 0.03470185728250244
p(uproar | of) = 0.003102086858432036
p(</s> | uproar) = 0.006485849056603773
p(this | in) = 0.017489711934156375
p(case | this) = 0.01062753036437247
p(i | case) = 0.006228765571913929
p(found | i) = 0.01124520021941854
p(her | found) = 0.006228765571913929
p(biography | her) = 0.005376344086021505
p(sandwiched | biography) = 0.006485849056603773
p(in | sandwiched) = 0.006485849056603773
p(between | in) = 0.0037722908093278463
p(that | between) = 0.012166859791425259
p(of | that) = 0.008152173913043478
p(hebrew | a) = 0.003155479059093517
p(rabbi | hebrew) = 0.006485849056603773
p(and | rabbi) = 0.006485849056603773
p(staff | a) = 0.003155479059093517
p(commander | staff) = 0.006485849056603773
p(who | commander) = 0.006485849056603773
p(had | who) = 0.026479750778816195
p(written | had) = 0.005009107468123861
p(a | written) = 0.006447831184056271
p(monograph | a) = 0.003155479059093517
p(upon | monograph) = 0.006485849056603773
p(deep | the) = 0.004072924747866563
p(sea | deep) = 0.00641025641025641
p(fishes | sea) = 0.006485849056603773
p(</s> | fishes) = 0.006485849056603773
p(she | eyes) = 0.006228765571913929
p(eclipses | she) = 0.004811898512685914
p(and | eclipses) = 0.006485849056603773
p(predominates | and) = 0.002984264785675529
p(the | predominates) = 0.006485849056603773
p(whole | the) = 0.004072924747866563
p(of | whole) = 0.006373117033603708
p(her | of) = 0.00874224478285392
p(sex | her) = 0.005376344086021505
p(</s> | sex) = 0.006485849056603773
p(it | wrote) = 0.006447831184056271
p(presumably | was) = 0.004110612855007474
p(well | presumably) = 0.006485849056603773
p(to | well) = 0.006159014557670772
p(do | to) = 0.01152980877390326
p(remarked | i) = 0.00575973669775096
p(endeavouring | remarked) = 0.006300114547537227
p(to | endeavouring) = 0.006485849056603773
p(imitate | to) = 0.003093363329583802
p(my | imitate) = 0.006485849056603773
p(companion | my) = 0.004790940766550522
p(s | companion) = 0.006447831184056271
p(processes | s) = 0.005926724137931034
p(</s> | processes) = 0.006485849056603773
p(sherlock | <s>) = 0.0020968356843309188
p(i | holmes) = 0.005350194552529183
p(believe | i) = 0.00575973669775096
p(said | believe) = 0.006447831184056271
p(she | said) = 0.005595116988809766
p(</s> | she) = 0.004811898512685914
p(an | is) = 0.008801341156747694
p(ordinary | an) = 0.005741127348643006
p(plumber | ordinary) = 0.006485849056603773
p(s | plumber) = 0.006485849056603773
p(smoke | s) = 0.005926724137931034
p(rocket | smoke) = 0.012237762237762236
p(fitted | rocket) = 0.006373117033603708
p(with | fitted) = 0.006485849056603773
p(cap | a) = 0.003155479059093517
p(at | cap) = 0.006485849056603773
p(either | at) = 0.005149812734082397
p(end | either) = 0.00641025641025641
p(to | end) = 0.0063364055299539165
p(make | to) = 0.008717660292463441
p(it | make) = 0.012027491408934707
p(self | it) = 0.0037593984962406017
p(lighting | self) = 0.006485849056603773
p(</s> | lighting) = 0.006447831184056271
p(yet | and) = 0.013836136733586541
p(it | yet) = 0.006124721603563474
p(would | it) = 0.014012303485987695
p(be | would) = 0.016613076098606645
p(the | be) = 0.005198487712665407
p(blackest | the) = 0.002133436772692009
p(treachery | blackest) = 0.006485849056603773
p(to | treachery) = 0.006485849056603773
p(holmes | to) = 0.003093363329583802
p(to | holmes) = 0.005350194552529183
p(draw | to) = 0.003093363329583802
p(back | draw) = 0.006485849056603773
p(now | back) = 0.006264236902050114
p(from | now) = 0.006024096385542168
p(which | part) = 0.006228765571913929
p(he | which) = 0.028558052434456926
p(intrusted | had) = 0.005009107468123861
p(to | intrusted) = 0.006485849056603773
p(me | to) = 0.0171541057367829
p(</s> | me) = 0.020337301587301584
p(be | shall) = 0.01189127972819932
p(all | be) = 0.005198487712665407
p(anxiety | all) = 0.005741127348643006
p(then | anxiety) = 0.006485849056603773
p(as | then) = 0.005595116988809766
p(money | to) = 0.003093363329583802
p(you | money) = 0.006447831184056271
p(_carte | have) = 0.005032021957913998
p(blanche_ | _carte) = 0.006485849056603773
p(absolutely | blanche_) = 0.006485849056603773
p(i | absolutely) = 0.00641025641025641
p(tell | i) = 0.0030170049369171695
p(you | tell) = 0.01755379388448471
p(give | would) = 0.0058949624866023575
p(one | give) = 0.006447831184056271
p(provinces | the) = 0.002133436772692009
p(of | provinces) = 0.006485849056603773
p(my | of) = 0.017202481669486742
p(kingdom | my) = 0.004790940766550522
p(to | kingdom) = 0.006447831184056271
p(have | to) = 0.005905511811023622
p(that | have) = 0.005032021957913998
p(photograph | that) = 0.004270186335403727
p(present | for) = 0.005350194552529183
p(expenses | present) = 0.006373117033603708
p(the | expenses) = 0.006485849056603773
p(took | king) = 0.006024096385542168
p(a | took) = 0.012027491408934707
p(heavy | a) = 0.006024096385542168
p(chamois | heavy) = 0.006373117033603708
p(leather | chamois) = 0.006485849056603773
p(bag | leather) = 0.006447831184056271
p(from | bag) = 0.006485849056603773
p(under | from) = 0.010263929618768328
p(his | under) = 0.0063364055299539165
p(cloak | his) = 0.004424778761061947
p(and | cloak) = 0.006447831184056271
p(laid | and) = 0.0056972327726532825
p(it | laid) = 0.00641025641025641
p(table | the) = 0.004072924747866563
p(</s> | table) = 0.0123094958968347
p(nice | a) = 0.003155479059093517
p(little | nice) = 0.006485849056603773
p(brougham | little) = 0.006159014557670772
p(and | brougham) = 0.00641025641025641
p(pair | a) = 0.006024096385542168
p(of | pair) = 0.00641025641025641
p(beauties | of) = 0.003102086858432036
p(</s> | beauties) = 0.006485849056603773
p(leave | i) = 0.0030170049369171695
p(a | leave) = 0.006485849056603773
p(which | photograph) = 0.005926724137931034
p(might | he) = 0.012419871794871794
p(care | might) = 0.006228765571913929
p(to | care) = 0.0123094958968347
p(possess | to) = 0.003093363329583802
p(and | possess) = 0.006485849056603773
p(remain | i) = 0.0030170049369171695
p(dear | remain) = 0.006447831184056271
p(mr | dear) = 0.012096774193548387
p(very | holmes) = 0.005350194552529183
p(truly | very) = 0.00580168776371308
p(yours | truly) = 0.006485849056603773
p(irene | yours) = 0.006447831184056271
p(norton | irene) = 0.006159014557670772
p(_née_ | norton) = 0.006373117033603708
p(adler | _née_) = 0.006485849056603773
p(what | adler) = 0.006193693693693694
p(a | what) = 0.01609553478712357
p(oh | woman) = 0.006090808416389811
p(what | oh) = 0.0063364055299539165
p(cried | woman) = 0.006090808416389811
p(the | cried) = 0.006300114547537227
p(when | bohemia) = 0.006228765571913929
p(we | when) = 0.016179540709812108
p(had | we) = 0.015768056968463885
p(all | had) = 0.005009107468123861
p(three | all) = 0.016179540709812108
p(read | three) = 0.01189127972819932
p(this | read) = 0.00641025641025641
p(epistle | this) = 0.005566801619433198
p(</s> | epistle) = 0.006485849056603773
p(_bijou_ | a) = 0.003155479059093517
p(villa | _bijou_) = 0.006485849056603773
p(with | villa) = 0.006485849056603773
p(garden | a) = 0.003155479059093517
p(at | garden) = 0.006447831184056271
p(back | the) = 0.002133436772692009
p(but | back) = 0.006264236902050114
p(built | but) = 0.0052231718898385565
p(out | built) = 0.006485849056603773
p(right | front) = 0.006300114547537227
p(up | right) = 0.0063364055299539165
p(to | up) = 0.021398747390396655
p(road | the) = 0.002133436772692009
p(two | road) = 0.006447831184056271
p(stories | two) = 0.006193693693693694
p(</s> | stories) = 0.006485849056603773
p(understand | you) = 0.004110612855007474
p(i | understand) = 0.0063364055299539165
p(to | am) = 0.011437908496732025
p(be | to) = 0.03402699662542182
p(neutral | be) = 0.005198487712665407
p(to | neutral) = 0.0123094958968347
p(nothing | do) = 0.005958829902491874
p(whatever | nothing) = 0.006300114547537227
p(</s> | whatever) = 0.006485849056603773
p(a | was) = 0.03774289985052316
